HotelName,Latitude,Longitude,TransportationModesCount,AttractionPlacesCount,Rating
"""27"" Spathodea- Oasis in the city",6.8891892,79.8647353,15,20,28.8
360 Sands,5.9633851,80.6881974,1,5,54
"55TG Boutique Suites, Colombo",6.8803114,79.8785302,20,11,73.6
56 by Deco,6.0258875,80.2168004,10,35,51.6
7th Sky Idyll,5.9773025,80.3512115,4,12,46.8
7th Wave Beach House,5.9398363,80.567751,3,4,25.2
8+ Plus Motels,7.2272982,79.8448248,2,8,52.8
9 Pearls Resort,6.8857853,79.8558089,17,16,24.6
A & B Events Hall,6.9383037,79.8515484,16,51,28.8
A and D Holiday Inn,8.3164678,80.4059821,8,1,56.4
A&B RESORT NEGOMBO,6.9383037,79.8515484,16,51,28.8
A4 Villa,8.0340847,80.7543732,0,6,46.8
"Aarunya Nature Resort & Spa - Kandy, Sri Lanka",7.4089925,80.6187948,4,1,56
Abha Villa,6.0551625,80.1901488,20,10,48
Abhaya Resorts,8.3112629,80.4069217,6,0,55.2
"Abinu""s Place",5.9635651,80.7024971,2,3,29.4
Abundia Home Stay,6.0235371,80.2472646,5,15,57.6
ACA B&B,6.9017257,79.8536648,23,33,42
Acme grand Hotel,8.0372791,80.7627944,1,3,62.4
Adaviya Resort,7.3376708,81.0049489,7,2,45.6
Aditya Resort,6.0947315,80.1349694,15,8,75.2
Adventure Base camp Kithulgala,6.9879168,80.42841,0,3,68.8
Aga Surf View,6.0051263,80.7672881,1,10,57.6
Agnus Unawatuna,6.0218119,80.2412643,5,15,75.2
Agra Lanka Beach Resort,5.9727725,80.4335486,4,14,51.6
Ahas Gawwa,6.8107458,80.173753,0,2,26.4
Ahas Pokuna Holiday Resort,7.5027696,80.4378723,0,0,46.8
Ahash Hotel,8.986617,79.8989236,3,1,45.6
Aiden Home Stay,7.140817,79.877141,10,4,25.8
Airport A4 Transit Hub,7.1892712,79.9022855,3,0,28.8
Airport Beach Villa,7.0508499,79.8563154,0,2,25.8
Airport Eco Cottage,7.1829176,79.9024584,4,0,25.2
Airport four Season Transit Hotel,7.1961505,79.8983644,3,0,48
Airport Grand Holiday Home,7.1402347,79.8892329,10,1,52.8
Airport Green Hotel,7.1415149,79.8712203,9,4,57.6
Airport Resort,7.1935611,79.9214387,3,1,46.8
Airport Villa,7.1422089,79.8725774,9,4,48
AKASH RETREAT AND SPA,7.107084,79.9234318,1,1,52.8
Aki Villa,7.90947,81.560075,1,2,55.2
AKR Hotel (Pvt) Ltd,9.4089043,80.4078548,1,1,43.2
Alaia Resort DBA Hotel Rise & Set,6.8559489,81.8320236,0,12,50.4
Alice in Paradise,6.0101927,80.2427347,3,14,55.2
Aliya Resort & Spa,6.8778949,79.8776826,19,11,21
Alki Bungalows - Riverstone,7.5247346,80.7523451,0,5,48
Allens Guest house,9.6714026,80.0268916,5,15,29.4
Ama Residence,7.5031162,80.6224174,0,2,51.6
Amaara Forest Hotel,6.8795869,79.8612373,16,13,25.2
Amaara Sky Hotel,7.292234,80.627342,12,32,49.2
Amagi Aria,7.190389,79.8545952,5,4,80
